library,namespace,total_apis,avg_feature_count,avg_doc_quality,selected_count,is_core_namespace,is_deprioritized,is_low_value
tensorflow,top_level,99,9.35,1.68,11,True,False,False
tensorflow,nn,45,10.44,1.38,9,True,False,False
tensorflow,math,82,7.74,1.67,8,True,False,False
tensorflow,linalg,22,9.91,1.45,7,True,False,False
tensorflow,io,11,11.27,1.45,7,True,False,False
tensorflow,random,7,12.29,2.0,7,True,False,False
tensorflow,image,33,9.3,1.55,6,True,False,False
tensorflow,strings,15,8.33,1.93,6,True,False,False
tensorflow,keras.losses,19,8.63,1.84,5,True,False,False
tensorflow,signal,16,9.44,1.38,5,True,False,False
tensorflow,ragged,6,11.83,2.0,5,True,False,False
tensorflow,sparse,4,13.25,1.75,4,True,False,False
tensorflow,keras.metrics,3,7.0,1.67,3,True,False,False
tensorflow,keras.activations,2,9.0,1.5,2,True,False,False
tensorflow,keras.ops,206,5.87,0.84,3,False,False,False
tensorflow,quantization,8,9.5,1.25,2,False,True,False
tensorflow,keras.applications,1,12.0,1.0,1,False,True,False
tensorflow,keras.datasets,1,9.0,1.0,1,False,True,False
tensorflow,keras.quantizers,3,9.0,1.67,2,False,False,True
tensorflow,keras.visualization,2,10.5,1.5,2,False,False,True
tensorflow,keras.preprocessing,2,9.0,0.5,2,False,False,True
tensorflow,keras.utils,2,5.5,1.0,2,False,False,True
