library,namespace,total_apis,avg_feature_count,avg_doc_quality,selected_count,is_core_namespace,is_deprioritized,is_low_value
torch,functional,181,7.86,1.98,55,True,False,False
torch,nn,10,6.1,0.5,10,True,False,False
torch,distributions,2,10.5,2.0,2,True,False,False
torch,top_level,1,15.0,1.0,1,True,False,False
torch,nested,3,8.33,2.0,3,False,False,False
torch,masked,19,12.58,2.0,8,False,True,False
torch,cuda,15,4.07,0.93,4,False,True,False
torch,fx,12,6.42,1.42,3,False,True,False
torch,quantization,1,7.0,1.0,1,False,True,False
torch,futures,1,4.0,2.0,1,False,True,False
torch,windows,10,9.7,2.0,3,False,False,True
torch,xpu,8,3.75,1.0,3,False,False,True
torch,accelerator,7,5.0,1.14,3,False,False,True
torch,mtia,2,3.0,0.0,2,False,False,True
torch,testing,1,11.0,2.0,1,False,False,True
