api_full_name,init_json_path,runtime_supported_here,stage3_status,smoke_classification
tensorflow.acos,json2init/results/tensorflow/tensorflow.acos.init.json,True,ready_for_stage4,success
tensorflow.acosh,json2init/results/tensorflow/tensorflow.acosh.init.json,True,ready_for_stage4,success
tensorflow.argmax,json2init/results/tensorflow/tensorflow.argmax.init.json,True,ready_for_stage4,success
tensorflow.argmin,json2init/results/tensorflow/tensorflow.argmin.init.json,True,ready_for_stage4,success
tensorflow.argsort,json2init/results/tensorflow/tensorflow.argsort.init.json,True,ready_for_stage4,success
tensorflow.as_dtype,json2init/results/tensorflow/tensorflow.as_dtype.init.json,True,ready_for_stage4,success
tensorflow.as_string,json2init/results/tensorflow/tensorflow.as_string.init.json,True,ready_for_stage4,success
tensorflow.atan2,json2init/results/tensorflow/tensorflow.atan2.init.json,True,ready_for_stage4,success
tensorflow.bitcast,json2init/results/tensorflow/tensorflow.bitcast.init.json,True,ready_for_stage4,success
tensorflow.boolean_mask,json2init/results/tensorflow/tensorflow.boolean_mask.init.json,True,ready_for_stage4,success
tensorflow.broadcast_dynamic_shape,json2init/results/tensorflow/tensorflow.broadcast_dynamic_shape.init.json,True,ready_for_stage4,success
tensorflow.broadcast_to,json2init/results/tensorflow/tensorflow.broadcast_to.init.json,True,ready_for_stage4,success
tensorflow.cast,json2init/results/tensorflow/tensorflow.cast.init.json,True,ready_for_stage4,success
tensorflow.clip_by_global_norm,json2init/results/tensorflow/tensorflow.clip_by_global_norm.init.json,True,ready_for_stage4,success
tensorflow.clip_by_norm,json2init/results/tensorflow/tensorflow.clip_by_norm.init.json,True,ready_for_stage4,success
tensorflow.clip_by_value,json2init/results/tensorflow/tensorflow.clip_by_value.init.json,True,ready_for_stage4,success
tensorflow.complex,json2init/results/tensorflow/tensorflow.complex.init.json,True,ready_for_stage4,success
tensorflow.concat,json2init/results/tensorflow/tensorflow.concat.init.json,True,ready_for_stage4,success
tensorflow.constant,json2init/results/tensorflow/tensorflow.constant.init.json,True,ready_for_stage4,success
tensorflow.cos,json2init/results/tensorflow/tensorflow.cos.init.json,True,ready_for_stage4,success
tensorflow.cosh,json2init/results/tensorflow/tensorflow.cosh.init.json,True,ready_for_stage4,success
tensorflow.divide,json2init/results/tensorflow/tensorflow.divide.init.json,True,ready_for_stage4,success
tensorflow.dtypes.as_dtype,json2init/results/tensorflow/tensorflow.dtypes.as_dtype.init.json,True,ready_for_stage4,success
tensorflow.dtypes.cast,json2init/results/tensorflow/tensorflow.dtypes.cast.init.json,True,ready_for_stage4,success
tensorflow.dtypes.complex,json2init/results/tensorflow/tensorflow.dtypes.complex.init.json,True,ready_for_stage4,success
tensorflow.dtypes.saturate_cast,json2init/results/tensorflow/tensorflow.dtypes.saturate_cast.init.json,True,ready_for_stage4,success
tensorflow.ensure_shape,json2init/results/tensorflow/tensorflow.ensure_shape.init.json,True,ready_for_stage4,success
tensorflow.equal,json2init/results/tensorflow/tensorflow.equal.init.json,True,ready_for_stage4,success
tensorflow.exp,json2init/results/tensorflow/tensorflow.exp.init.json,True,ready_for_stage4,success
tensorflow.fill,json2init/results/tensorflow/tensorflow.fill.init.json,True,ready_for_stage4,success
tensorflow.fingerprint,json2init/results/tensorflow/tensorflow.fingerprint.init.json,True,ready_for_stage4,success
