api_full_name,init_json_path,runtime_supported_here,stage3_status,smoke_classification
torch.cuda.max_memory_allocated,json2init/results/torch/torch.cuda.max_memory_allocated.init.json,True,ready_for_stage4,success
torch.cuda.max_memory_reserved,json2init/results/torch/torch.cuda.max_memory_reserved.init.json,True,ready_for_stage4,success
torch.cuda.memory.max_memory_allocated,json2init/results/torch/torch.cuda.memory.max_memory_allocated.init.json,True,ready_for_stage4,success
torch.cuda.memory.max_memory_reserved,json2init/results/torch/torch.cuda.memory.max_memory_reserved.init.json,True,ready_for_stage4,success
torch.cuda.memory.memory_allocated,json2init/results/torch/torch.cuda.memory.memory_allocated.init.json,True,ready_for_stage4,success
torch.cuda.memory.memory_reserved,json2init/results/torch/torch.cuda.memory.memory_reserved.init.json,True,ready_for_stage4,success
torch.cuda.memory.memory_stats,json2init/results/torch/torch.cuda.memory.memory_stats.init.json,True,ready_for_stage4,success
torch.cuda.memory_allocated,json2init/results/torch/torch.cuda.memory_allocated.init.json,True,ready_for_stage4,success
torch.cuda.memory_reserved,json2init/results/torch/torch.cuda.memory_reserved.init.json,True,ready_for_stage4,success
torch.cuda.memory_stats,json2init/results/torch/torch.cuda.memory_stats.init.json,True,ready_for_stage4,success
torch.distributions.bernoulli.binary_cross_entropy_with_logits,json2init/results/torch/torch.distributions.bernoulli.binary_cross_entropy_with_logits.init.json,True,ready_for_stage4,success
torch.distributions.continuous_bernoulli.binary_cross_entropy_with_logits,json2init/results/torch/torch.distributions.continuous_bernoulli.binary_cross_entropy_with_logits.init.json,True,ready_for_stage4,success
torch.distributions.geometric.binary_cross_entropy_with_logits,json2init/results/torch/torch.distributions.geometric.binary_cross_entropy_with_logits.init.json,True,ready_for_stage4,success
torch.distributions.transforms.pad,json2init/results/torch/torch.distributions.transforms.pad.init.json,True,ready_for_stage4,success
torch.fx.experimental.symbolic_shapes.cast_symbool_to_symint_guardless,json2init/results/torch/torch.fx.experimental.symbolic_shapes.cast_symbool_to_symint_guardless.init.json,True,ready_for_stage4,success
torch.fx.experimental.symbolic_shapes.free_symbols,json2init/results/torch/torch.fx.experimental.symbolic_shapes.free_symbols.init.json,True,ready_for_stage4,success
torch.fx.experimental.symbolic_shapes.guard_scalar,json2init/results/torch/torch.fx.experimental.symbolic_shapes.guard_scalar.init.json,True,ready_for_stage4,success
torch.fx.experimental.symbolic_shapes.has_static_value,json2init/results/torch/torch.fx.experimental.symbolic_shapes.has_static_value.init.json,True,ready_for_stage4,success
torch.fx.experimental.symbolic_shapes.sympy.cse,json2init/results/torch/torch.fx.experimental.symbolic_shapes.sympy.cse.init.json,True,ready_for_stage4,success
torch.fx.experimental.symbolic_shapes.sympy.factor_system,json2init/results/torch/torch.fx.experimental.symbolic_shapes.sympy.factor_system.init.json,True,ready_for_stage4,success
