api_full_name,status,classification,rounds,repair_model_used,signature_found,param_count,required_param_count,supported_param_count,stage3_preview_ready,errors,warnings,stage3_preview_reasons,json_path
jax.block_until_ready,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.block_until_ready.json
jax.copy_to_host_async,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.copy_to_host_async.json
jax.dlpack.from_dlpack,pass,pass,1,deterministic,True,3,1,3,True,,,,info2json/results/jax/jax.dlpack.from_dlpack.json
jax.dtypes.result_type,pass_with_warnings,pass_with_warnings,1,deterministic,True,1,0,1,True,,no required params remained after normalization; check doc parsing,,info2json/results/jax/jax.dtypes.result_type.json
jax.interpreters.mlir.ir.np.all,pass,pass,1,deterministic,True,5,1,5,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.all.json
jax.interpreters.mlir.ir.np.angle,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.angle.json
jax.interpreters.mlir.ir.np.any,pass_with_warnings,pass_with_warnings,1,deterministic,True,6,2,6,True,,required param 'See' missing type,,info2json/results/jax/jax.interpreters.mlir.ir.np.any.json
jax.interpreters.mlir.ir.np.array,pass,pass,1,deterministic,True,8,1,8,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.array.json
jax.interpreters.mlir.ir.np.array2string,pass,pass,1,deterministic,True,13,1,13,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.array2string.json
jax.interpreters.mlir.ir.np.array_repr,pass,pass,1,deterministic,True,4,1,4,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.array_repr.json
jax.interpreters.mlir.ir.np.asfortranarray,pass,pass,1,deterministic,True,3,1,3,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.asfortranarray.json
jax.interpreters.mlir.ir.np.astype,pass,pass,1,deterministic,True,4,2,4,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.astype.json
jax.interpreters.mlir.ir.np.base_repr,pass,pass,1,deterministic,True,3,1,3,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.base_repr.json
jax.interpreters.mlir.ir.np.bincount,pass,pass,1,deterministic,True,3,1,3,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.bincount.json
jax.interpreters.mlir.ir.np.block,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.block.json
jax.interpreters.mlir.ir.np.bmat,pass,pass,1,deterministic,True,3,1,3,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.bmat.json
