api_full_name,status,rounds,repair_model_used,signature_found,param_count,required_param_count,supported_param_count,stage3_preview_ready,errors,warnings,stage3_preview_reasons,json_path
tensorflow.acos,pass,1,deterministic,False,2,1,2,True,,,,info2json/results/tensorflow/tensorflow.acos.json
tensorflow.acosh,pass,1,deterministic,False,2,1,2,True,,,,info2json/results/tensorflow/tensorflow.acosh.json
tensorflow.add_n,pass,1,deterministic,False,2,1,2,True,,,,info2json/results/tensorflow/tensorflow.add_n.json
tensorflow.argmax,pass,1,deterministic,False,4,1,4,True,,,,info2json/results/tensorflow/tensorflow.argmax.json
tensorflow.argmin,pass,1,deterministic,False,4,2,4,True,,,,info2json/results/tensorflow/tensorflow.argmin.json
tensorflow.argsort,pass_with_warnings,1,deterministic,True,5,4,5,False,,required param 'axis' missing type | required param 'direction' missing type | required param 'name' missing type | stage3 preview not ready: required param 'axis' unresolved: unhandled chosen type: the axis along which to sort. the default is -1 | required param 'direction' unresolved: unhandled chosen type: the direction in which to sort the values (`'ascending'` or `'descending'`). | required param 'name' unresolved: unhandled chosen type: optional name for the operation.,required param 'axis' unresolved: unhandled chosen type: the axis along which to sort. the default is -1 | required param 'direction' unresolved: unhandled chosen type: the direction in which to sort the values (`'ascending'` or `'descending'`). | required param 'name' unresolved: unhandled chosen type: optional name for the operation.,info2json/results/tensorflow/tensorflow.argsort.json
tensorflow.as_dtype,pass,1,deterministic,False,1,1,1,True,,,,info2json/results/tensorflow/tensorflow.as_dtype.json
tensorflow.as_string,pass,1,deterministic,True,7,1,7,True,,,,info2json/results/tensorflow/tensorflow.as_string.json
tensorflow.atan2,pass,1,deterministic,False,3,2,3,True,,,,info2json/results/tensorflow/tensorflow.atan2.json
tensorflow.batch_to_space,pass,1,deterministic,False,5,4,5,True,,,,info2json/results/tensorflow/tensorflow.batch_to_space.json
tensorflow.bitcast,pass,1,deterministic,False,2,1,2,True,,,,info2json/results/tensorflow/tensorflow.bitcast.json
tensorflow.boolean_mask,pass,1,deterministic,False,3,1,3,True,,,,info2json/results/tensorflow/tensorflow.boolean_mask.json
tensorflow.broadcast_dynamic_shape,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.broadcast_dynamic_shape.json
tensorflow.broadcast_to,pass,1,deterministic,False,3,2,3,True,,,,info2json/results/tensorflow/tensorflow.broadcast_to.json
tensorflow.cast,pass,1,deterministic,False,2,1,2,True,,,,info2json/results/tensorflow/tensorflow.cast.json
tensorflow.clip_by_global_norm,pass,1,deterministic,False,4,2,4,True,,,,info2json/results/tensorflow/tensorflow.clip_by_global_norm.json
tensorflow.clip_by_norm,pass_with_warnings,1,deterministic,True,1,1,1,True,,required param 'grads' missing type | required param 'grads' missing description,,info2json/results/tensorflow/tensorflow.clip_by_norm.json
tensorflow.clip_by_value,pass,1,deterministic,False,4,3,4,True,,,,info2json/results/tensorflow/tensorflow.clip_by_value.json
tensorflow.complex,pass,1,deterministic,False,3,2,3,True,,,,info2json/results/tensorflow/tensorflow.complex.json
