api_full_name,stage,case_kind,mutation_intent,param,rule,classification,error_type,error,results_json_path
jax.block_until_ready,negative_mutation,negative_mutation,negative,x,shape_expand,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.block_until_ready.results.json
jax.block_until_ready,negative_mutation,negative_mutation,negative,x,dtype_mutate,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.block_until_ready.results.json
jax.copy_to_host_async,negative_mutation,negative_mutation,negative,x,shape_expand,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.copy_to_host_async.results.json
jax.copy_to_host_async,negative_mutation,negative_mutation,negative,x,dtype_mutate,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.copy_to_host_async.results.json
jax.dlpack.from_dlpack,negative_mutation,negative_mutation,negative,external_array,enum_invalid,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.dlpack.from_dlpack.results.json
jax.interpreters.mlir.ir.np.all,negative_mutation,negative_mutation,negative,a,shape_shrink,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.all.results.json
jax.interpreters.mlir.ir.np.all,negative_mutation,negative_mutation,negative,a,dtype_mutate,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.all.results.json
jax.interpreters.mlir.ir.np.angle,negative_mutation,negative_mutation,negative,z,type_widen,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.angle.results.json
jax.interpreters.mlir.ir.np.any,negative_mutation,negative_mutation,negative,a,shape_shrink,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.any.results.json
jax.interpreters.mlir.ir.np.any,negative_mutation,negative_mutation,negative,a,dtype_mutate,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.any.results.json
jax.interpreters.mlir.ir.np.array,negative_mutation,negative_mutation,negative,object,type_widen,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.array.results.json
jax.interpreters.mlir.ir.np.array2string,negative_mutation,negative_mutation,negative,a,shape_expand,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.array2string.results.json
jax.interpreters.mlir.ir.np.array2string,negative_mutation,negative_mutation,negative,a,dtype_mutate,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.array2string.results.json
jax.interpreters.mlir.ir.np.array_repr,negative_mutation,negative_mutation,negative,arr,shape_expand,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.array_repr.results.json
jax.interpreters.mlir.ir.np.array_repr,negative_mutation,negative_mutation,negative,arr,dtype_mutate,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.array_repr.results.json
jax.interpreters.mlir.ir.np.asfortranarray,negative_mutation,negative_mutation,negative,a,shape_expand,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.asfortranarray.results.json
jax.interpreters.mlir.ir.np.asfortranarray,negative_mutation,negative_mutation,negative,a,dtype_mutate,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.asfortranarray.results.json
jax.interpreters.mlir.ir.np.astype,negative_mutation,negative_mutation,negative,x,shape_expand,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.astype.results.json
jax.interpreters.mlir.ir.np.astype,negative_mutation,negative_mutation,negative,x,dtype_mutate,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.astype.results.json
jax.interpreters.mlir.ir.np.astype,negative_mutation,negative_mutation,negative,dtype,type_switch,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.astype.results.json
jax.interpreters.mlir.ir.np.base_repr,negative_mutation,negative_mutation,negative,number,type_widen,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.base_repr.results.json
jax.interpreters.mlir.ir.np.bincount,negative_mutation,negative_mutation,negative,x,shape_expand,negative_accepted_not_bug,,,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.bincount.results.json
