library,api_full_name,stage,error_type,message,signature,payload_ref,source_file,oracle_decision
tensorflow,tensorflow.acos,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=20 below threshold 60; missing_lines=[5874, 5875, 5876, 5877]",195f927475d44c4e,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.acos,stage4_coverage,selected_function_line_coverage_percent=20 < 60,selected_function_line_coverage_percent=20 < 60,507a0f44bf27caab,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.acosh,stage4_coverage,selected_function_line_coverage_percent=32.5581 < 60,selected_function_line_coverage_percent=32.5581 < 60,12040dbb42d1e117,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.acosh,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=32.5581 below threshold 60; missing_lines=[229, 230, 231, 232, 256, 258, 265, 269, 271, 274, 275, 276, 278, 280, 281, 283, 284, 286, 287, 290, 291, 292, 293, 294, 295, 296, 297, 299, 300]",7614dfeaa1f56034,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.argmax,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=33.3333 below threshold 60; missing_lines=[271, 272, 273, 307, 315, 316, 317, 318, 319, 321]",b6e804b2cd898a33,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.argmax,stage4_coverage,selected_function_line_coverage_percent=33.3333 < 60,selected_function_line_coverage_percent=33.3333 < 60,f08a8acf24508211,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.argmin,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,97029d364dbe9983,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.argmin,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=50 below threshold 60; missing_lines=[346, 347, 348]",e1536c84d6632bb6,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.argsort,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=50 below threshold 60; missing_lines=[86, 87, 88]",2817006c7bbeded6,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.argsort,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,ed12fed3d4ef87b8,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.as_dtype,stage4_coverage,selected_function_line_coverage_percent=17.3913 < 60,selected_function_line_coverage_percent=17.3913 < 60,01b9a8d74fdaebeb,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.as_dtype,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=17.3913 below threshold 60; missing_lines=[885, 886, 918, 919, 921, 924, 925, 926, 927, 931, 933, 935, 936, 937, 938, 939, 941, 942, 944]",fe76a89be6261af0,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.as_string,stage4_coverage,selected_function_line_coverage_percent=10.1695 < 60,selected_function_line_coverage_percent=10.1695 < 60,7b3964b349c7e7b4,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.as_string,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=10.1695 below threshold 60; missing_lines=[27, 28, 29, 30, 31, 79, 80, 81, 82, 83, 84, 86, 87, 88, 91, 92, 93, 94, 99, 100, 101, 103, 105, 106, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 127, 128, 133, 134, 135, 136, 137, 138, 143, 144, 146, 147]",9b096b9957030914,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.atan2,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=13.9535 below threshold 60; missing_lines=[1282, 1283, 1284, 1285, 1316, 1317, 1318, 1319, 1320, 1321, 1323, 1324, 1325, 1327, 1328, 1329, 1330, 1333, 1334, 1335, 1337, 1339, 1340, 1342, 1343, 1345, 1346, 1349, 1350, 1351, 1352, 1353, 1354, 1355, 1356, 1358, 1359]",18e96175bc31a73b,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.atan2,stage4_coverage,selected_function_line_coverage_percent=13.9535 < 60,selected_function_line_coverage_percent=13.9535 < 60,6cd87f0f3155c8a6,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.bitcast,stage4_coverage,selected_function_line_coverage_percent=27.2727 < 60,selected_function_line_coverage_percent=27.2727 < 60,57dee7fe4ed50870,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.bitcast,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=27.2727 below threshold 60; missing_lines=[556, 557, 558, 559, 629, 631, 638, 641, 642, 643, 644, 647, 648, 649, 651, 653, 654, 656, 657, 658, 660, 661, 664, 665, 666, 667, 668, 669, 671, 672, 674, 675]",d09d8ee70fa30d67,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.boolean_mask,stage4_coverage,selected_function_line_coverage_percent=25 < 60,selected_function_line_coverage_percent=25 < 60,45391067a31b7a44,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.boolean_mask,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=25 below threshold 60; missing_lines=[1539, 1540, 1541]",f52f605222b79963,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.broadcast_dynamic_shape,stage4_coverage,selected_function_line_coverage_percent=25 < 60,selected_function_line_coverage_percent=25 < 60,e125cddc4ae35524,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.broadcast_dynamic_shape,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=25 below threshold 60; missing_lines=[528, 529, 530]",fda75f08fea6d027,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.broadcast_to,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=27.907 below threshold 60; missing_lines=[827, 828, 829, 830, 881, 883, 890, 893, 894, 895, 896, 899, 900, 901, 903, 905, 906, 908, 909, 911, 912, 915, 916, 917, 918, 919, 920, 922, 923, 925, 926]",22eb906b9b9b191b,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
