library,api_full_name,stage,error_type,message,signature,payload_ref,source_file,oracle_decision
tensorflow,tensorflow.image.central_crop,stage4_runtime,invalid_valid_mutation,"central_fraction must be within (0, 1]",286f6f2a1a64928d,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.image.central_crop.results.json,stage4/results/tensorflow-thesis-all-coverage/failures.csv,
tensorflow,tensorflow.image.central_crop,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=14.8148 below threshold 60; missing_lines=[859, 860, 861, 925, 928, 930, 931, 932, 933, 938, 939, 940, 941, 942, 946, 947, 948, 949, 951, 952, 953, 954, 956, 957, 962, 963, 964, 968, 969, 971, 972, 973, 977, 978, 980, 981, 983, 984, 985, 987, 988, 990, 993, 994, 999, 1003]",60f675d3d7281fbb,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.image.central_crop,stage4_runtime,ValueError,"central_fraction must be within (0, 1]",6175086d5b2f116c,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.image.central_crop.results.json,stage4/results/tensorflow-thesis-all-coverage/failure.csv,
tensorflow,tensorflow.image.central_crop,stage4_coverage,selected_function_line_coverage_percent=14.8148 < 60,selected_function_line_coverage_percent=14.8148 < 60,a1ebb553429c381b,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.image.encode_jpeg,stage4_coverage,selected_function_line_coverage_percent=12 < 60,selected_function_line_coverage_percent=12 < 60,0c4ad3a527a578f2,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.image.encode_jpeg,stage4_coverage,uncovered_api,Stage 4 did not cover API; valid_programs=0 bugs=0,37ca31e06d4a979a,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.image.encode_jpeg,stage4_runtime,AttributeError,'bytes' object has no attribute 'dtype',ed394c780f2e6155,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.image.encode_jpeg.results.json,stage4/results/tensorflow-thesis-all-coverage/failure.csv,
tensorflow,tensorflow.image.encode_png,stage4_runtime,AttributeError,'bytes' object has no attribute 'dtype',9c5ce3a8028340f7,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.image.encode_png.results.json,stage4/results/tensorflow-thesis-all-coverage/failure.csv,
tensorflow,tensorflow.image.encode_png,stage4_coverage,selected_function_line_coverage_percent=25 < 60,selected_function_line_coverage_percent=25 < 60,9ea23470292d3431,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.image.encode_png,stage4_coverage,uncovered_api,Stage 4 did not cover API; valid_programs=0 bugs=0,abc168ae9ce377af,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.io.decode_compressed,stage4_coverage,selected_function_line_coverage_percent=25.5319 < 60,selected_function_line_coverage_percent=25.5319 < 60,63581577eba2c3a8,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.io.decode_compressed,stage4_coverage,uncovered_api,Stage 4 did not cover API; valid_programs=0 bugs=0,87b4680addcee1f1,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.io.decode_compressed,stage4_runtime,AttributeError,'bytes' object has no attribute 'dtype',8da037c0c55c6ade,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.io.decode_compressed.results.json,stage4/results/tensorflow-thesis-all-coverage/failure.csv,
tensorflow,tensorflow.io.encode_jpeg,stage4_coverage,selected_function_line_coverage_percent=12 < 60,selected_function_line_coverage_percent=12 < 60,269c7034da6f1407,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.io.encode_jpeg,stage4_coverage,uncovered_api,Stage 4 did not cover API; valid_programs=0 bugs=0,4c9c3f78ff54d74c,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.io.encode_jpeg,stage4_runtime,AttributeError,'bytes' object has no attribute 'dtype',91e4892ded5b593a,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.io.encode_jpeg.results.json,stage4/results/tensorflow-thesis-all-coverage/failure.csv,
tensorflow,tensorflow.io.encode_png,stage4_runtime,AttributeError,'bytes' object has no attribute 'dtype',0a810c13e15bfad5,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.io.encode_png.results.json,stage4/results/tensorflow-thesis-all-coverage/failure.csv,
tensorflow,tensorflow.io.encode_png,stage4_coverage,uncovered_api,Stage 4 did not cover API; valid_programs=0 bugs=0,3b41ab6b94904787,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.io.encode_png,stage4_coverage,selected_function_line_coverage_percent=25 < 60,selected_function_line_coverage_percent=25 < 60,9e45df6f6f46a7af,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.io.parse_tensor,stage4_coverage,uncovered_api,Stage 4 did not cover API; valid_programs=0 bugs=0,2060a88480caa948,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.io.parse_tensor,stage4_coverage,selected_function_line_coverage_percent=0 < 60,selected_function_line_coverage_percent=0 < 60,5b5add5092e5c5f0,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.io.parse_tensor,stage4_runtime,AttributeError,'bytes' object has no attribute 'dtype',9a5c6caa311a052a,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.io.parse_tensor.results.json,stage4/results/tensorflow-thesis-all-coverage/failure.csv,
tensorflow,tensorflow.keras.ops.adaptive_average_pool,stage4_runtime,ValueError,too many values to unpack (expected 2),15eca903a9c50472,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.adaptive_average_pool.results.json,stage4/results/tensorflow-thesis-all-coverage/failure.csv,
tensorflow,tensorflow.keras.ops.adaptive_average_pool,stage4_runtime,invalid_valid_mutation,too many values to unpack (expected 2),1a9f3b99418cb01f,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.adaptive_average_pool.results.json,stage4/results/tensorflow-thesis-all-coverage/failures.csv,
tensorflow,tensorflow.keras.ops.adaptive_max_pool,stage4_runtime,invalid_valid_mutation,too many values to unpack (expected 2),3a4a9882b4fe600f,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.adaptive_max_pool.results.json,stage4/results/tensorflow-thesis-all-coverage/failures.csv,
tensorflow,tensorflow.keras.ops.adaptive_max_pool,stage4_runtime,ValueError,too many values to unpack (expected 2),52b6150c0eeb2c04,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.adaptive_max_pool.results.json,stage4/results/tensorflow-thesis-all-coverage/failure.csv,
tensorflow,tensorflow.keras.ops.cholesky,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=0 below threshold 60; missing_lines=[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",2282eeea6f837d1f,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.keras.ops.cholesky,stage4_coverage,selected_function_line_coverage_percent=0 < 60,selected_function_line_coverage_percent=0 < 60,6c435d098c9b40a6,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.keras.ops.cholesky,stage4_runtime,ValueError,Cholesky decomposition failed: {{function_node __wrapped__CheckNumerics_device_/job:localhost/replica:0/task:0/device:CPU:0}} Cholesky : Tensor had NaN values [Op:CheckNumerics] name:,7d56ab385fb88658,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.cholesky.results.json,stage4/results/tensorflow-thesis-all-coverage/failure.csv,
tensorflow,tensorflow.keras.ops.cholesky,stage4_runtime,invalid_valid_mutation,Cholesky decomposition failed: {{function_node __wrapped__CheckNumerics_device_/job:localhost/replica:0/task:0/device:CPU:0}} Cholesky : Tensor had NaN values [Op:CheckNumerics] name:,88e051bf46dcd2df,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.cholesky.results.json,stage4/results/tensorflow-thesis-all-coverage/failures.csv,
tensorflow,tensorflow.keras.ops.inv,stage4_runtime,invalid_valid_mutation,{{function_node __wrapped__MatrixInverse_device_/job:localhost/replica:0/task:0/device:CPU:0}} Input is not invertible. [Op:MatrixInverse] name:,16635219cb66f522,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.inv.results.json,stage4/results/tensorflow-thesis-all-coverage/failures.csv,
tensorflow,tensorflow.keras.ops.inv,stage4_runtime,InvalidArgumentError,{{function_node __wrapped__MatrixInverse_device_/job:localhost/replica:0/task:0/device:CPU:0}} Input is not invertible. [Op:MatrixInverse] name:,99856c11e3a2df19,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.inv.results.json,stage4/results/tensorflow-thesis-all-coverage/failure.csv,
tensorflow,tensorflow.keras.ops.kaiser,stage4_runtime,invalid_valid_mutation,{{function_node __wrapped__Range_device_/job:localhost/replica:0/task:0/device:CPU:0}} Requires start <= limit when delta > 0: 0.5/-0.4 [Op:Range] name:,6e1bfff519bbde52,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.kaiser.results.json,stage4/results/tensorflow-thesis-all-coverage/failures.csv,
tensorflow,tensorflow.keras.ops.kaiser,stage4_runtime,InvalidArgumentError,{{function_node __wrapped__Range_device_/job:localhost/replica:0/task:0/device:CPU:0}} Requires start <= limit when delta > 0: 0.5/-0.4 [Op:Range] name:,a45bb7f36cd5bca0,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.kaiser.results.json,stage4/results/tensorflow-thesis-all-coverage/failure.csv,
tensorflow,tensorflow.keras.ops.linalg.cholesky,stage4_runtime,ValueError,Cholesky decomposition failed: {{function_node __wrapped__CheckNumerics_device_/job:localhost/replica:0/task:0/device:CPU:0}} Cholesky : Tensor had NaN values [Op:CheckNumerics] name:,165637cab4396d03,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.linalg.cholesky.results.json,stage4/results/tensorflow-thesis-all-coverage/failure.csv,
tensorflow,tensorflow.keras.ops.linalg.cholesky,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=0 below threshold 60; missing_lines=[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",7e76dd0129601f75,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.keras.ops.linalg.cholesky,stage4_runtime,invalid_valid_mutation,Cholesky decomposition failed: {{function_node __wrapped__CheckNumerics_device_/job:localhost/replica:0/task:0/device:CPU:0}} Cholesky : Tensor had NaN values [Op:CheckNumerics] name:,b4d1d4b6926fdeb2,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.linalg.cholesky.results.json,stage4/results/tensorflow-thesis-all-coverage/failures.csv,
tensorflow,tensorflow.keras.ops.linalg.cholesky,stage4_coverage,selected_function_line_coverage_percent=0 < 60,selected_function_line_coverage_percent=0 < 60,cd3c78ba82ae5e6d,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.keras.ops.linalg.inv,stage4_runtime,InvalidArgumentError,{{function_node __wrapped__MatrixInverse_device_/job:localhost/replica:0/task:0/device:CPU:0}} Input is not invertible. [Op:MatrixInverse] name:,38c2ce544dcaf543,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.linalg.inv.results.json,stage4/results/tensorflow-thesis-all-coverage/failure.csv,
tensorflow,tensorflow.keras.ops.linalg.inv,stage4_runtime,invalid_valid_mutation,{{function_node __wrapped__MatrixInverse_device_/job:localhost/replica:0/task:0/device:CPU:0}} Input is not invertible. [Op:MatrixInverse] name:,5149ab5fff889312,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.linalg.inv.results.json,stage4/results/tensorflow-thesis-all-coverage/failures.csv,
tensorflow,tensorflow.keras.ops.linalg.solve,stage4_runtime,InvalidArgumentError,{{function_node __wrapped__MatrixSolve_device_/job:localhost/replica:0/task:0/device:CPU:0}} Input matrix is not invertible. [Op:MatrixSolve] name:,62bb0c9b95bdff08,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.linalg.solve.results.json,stage4/results/tensorflow-thesis-all-coverage/failure.csv,
tensorflow,tensorflow.keras.ops.linalg.solve,stage4_runtime,invalid_valid_mutation,{{function_node __wrapped__MatrixSolve_device_/job:localhost/replica:0/task:0/device:CPU:0}} Input matrix is not invertible. [Op:MatrixSolve] name:,e8b94410d1a0be6a,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.linalg.solve.results.json,stage4/results/tensorflow-thesis-all-coverage/failures.csv,
tensorflow,tensorflow.keras.ops.nn.adaptive_average_pool,stage4_runtime,ValueError,too many values to unpack (expected 2),560999b0a9ea0181,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.nn.adaptive_average_pool.results.json,stage4/results/tensorflow-thesis-all-coverage/failure.csv,
tensorflow,tensorflow.keras.ops.nn.adaptive_average_pool,stage4_runtime,invalid_valid_mutation,too many values to unpack (expected 2),dad34d4c9e451aaf,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.nn.adaptive_average_pool.results.json,stage4/results/tensorflow-thesis-all-coverage/failures.csv,
tensorflow,tensorflow.keras.ops.nn.adaptive_max_pool,stage4_runtime,invalid_valid_mutation,too many values to unpack (expected 2),3587d3fa649e226b,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.nn.adaptive_max_pool.results.json,stage4/results/tensorflow-thesis-all-coverage/failures.csv,
tensorflow,tensorflow.keras.ops.nn.adaptive_max_pool,stage4_runtime,ValueError,too many values to unpack (expected 2),9080446ce2196977,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.nn.adaptive_max_pool.results.json,stage4/results/tensorflow-thesis-all-coverage/failure.csv,
tensorflow,tensorflow.keras.ops.nn.relu,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=0 below threshold 60; missing_lines=[28, 29, 30, 36, 37, 38, 39, 40, 41]",362ee8a2d4989610,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.keras.ops.nn.relu,stage4_coverage,selected_function_line_coverage_percent=0 < 60,selected_function_line_coverage_percent=0 < 60,6ea48e4db78f5f0c,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.keras.ops.relu,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=0 below threshold 60; missing_lines=[28, 29, 30, 36, 37, 38, 39, 40, 41]",8063ba0145d4a962,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,stage4/results/tensorflow-thesis-all-coverage/coverage_report.json,
tensorflow,tensorflow.keras.ops.relu,stage4_coverage,selected_function_line_coverage_percent=0 < 60,selected_function_line_coverage_percent=0 < 60,976975f89debf3a6,,stage4/results/tensorflow-thesis-all-coverage/low_coverage.csv,
tensorflow,tensorflow.keras.ops.segment_max,stage4_runtime,InvalidArgumentError,"{{function_node __wrapped__UnsortedSegmentMax_device_/job:localhost/replica:0/task:0/device:CPU:0}} segment_ids[0] = 1 is out of range [0, 1) [Op:UnsortedSegmentMax] name:",4dc79edaaef0beaf,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.segment_max.results.json,stage4/results/tensorflow-thesis-all-coverage/failure.csv,
tensorflow,tensorflow.keras.ops.segment_max,stage4_runtime,invalid_valid_mutation,"{{function_node __wrapped__UnsortedSegmentMax_device_/job:localhost/replica:0/task:0/device:CPU:0}} segment_ids[0] = 1 is out of range [0, 1) [Op:UnsortedSegmentMax] name:",954237417a97fd69,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.segment_max.results.json,stage4/results/tensorflow-thesis-all-coverage/failures.csv,
tensorflow,tensorflow.keras.ops.solve,stage4_runtime,invalid_valid_mutation,{{function_node __wrapped__MatrixSolve_device_/job:localhost/replica:0/task:0/device:CPU:0}} Input matrix is not invertible. [Op:MatrixSolve] name:,03f85aaaf1b530dd,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.solve.results.json,stage4/results/tensorflow-thesis-all-coverage/failures.csv,
tensorflow,tensorflow.keras.ops.solve,stage4_runtime,InvalidArgumentError,{{function_node __wrapped__MatrixSolve_device_/job:localhost/replica:0/task:0/device:CPU:0}} Input matrix is not invertible. [Op:MatrixSolve] name:,bc975ef7ce791dcc,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.solve.results.json,stage4/results/tensorflow-thesis-all-coverage/failure.csv,
