library,api_full_name,stage,error_type,message,signature,payload_ref,source_file,oracle_decision
torch,torch.cuda.max_memory_allocated,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,57a901f10a4950a7,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,llm_unavailable
torch,torch.cuda.max_memory_reserved,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,8cad9b69dd63edb5,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,llm_unavailable
torch,torch.cuda.memory.max_memory_allocated,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,d477cdd717dea4b9,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,llm_unavailable
torch,torch.cuda.memory.max_memory_reserved,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,ad54456064ee5c6c,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,llm_unavailable
torch,torch.cuda.memory.memory_allocated,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,53fb1b5859b3d020,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,llm_unavailable
torch,torch.cuda.memory.memory_reserved,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,3478e8a3f4a45e27,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,llm_unavailable
torch,torch.cuda.memory_allocated,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,06ad274aece9f374,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,llm_unavailable
torch,torch.cuda.memory_reserved,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,ce0ce6059dd810c7,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,llm_unavailable
torch,torch.distributions.transforms.pad,stage4_runtime,invalid_valid_mutation,Padding length must be divisible by 2,5f5f5ebafb7c8c25,stage4/results/torch-thesis-all-coverage/execution_results/torch.distributions.transforms.pad.results.json,stage4/results/torch-thesis-all-coverage/failures.csv,llm_unavailable
torch,torch.distributions.transforms.pad,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,850bcb8332c99e0f,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,llm_unavailable
torch,torch.distributions.transforms.pad,stage4_runtime,RuntimeError,Padding length must be divisible by 2,855c1b80b3d1d1a9,stage4/results/torch-thesis-all-coverage/execution_results/torch.distributions.transforms.pad.results.json,stage4/results/torch-thesis-all-coverage/failure.csv,llm_unavailable
torch,torch.fx.experimental.symbolic_shapes.guard_scalar,stage4_coverage,selected_function_line_coverage_percent=37.5 < 60,selected_function_line_coverage_percent=37.5 < 60,60b911a450e15bad,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,llm_unavailable
torch,torch.fx.experimental.symbolic_shapes.has_static_value,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,23dc4d44f71b4abf,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,llm_unavailable
torch,torch.masked.amax,stage4_coverage,selected_function_line_coverage_percent=35.2941 < 60,selected_function_line_coverage_percent=35.2941 < 60,bd25aab3e20ff693,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,llm_unavailable
torch,torch.masked.amin,stage4_coverage,selected_function_line_coverage_percent=35.2941 < 60,selected_function_line_coverage_percent=35.2941 < 60,013ddccb210aa55f,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,llm_unavailable
torch,torch.masked.argmax,stage4_runtime,DifferentialMismatch,floating values differ beyond tolerance,aea1665450e7c1c2,stage4/results/torch-thesis-all-coverage/execution_results/torch.masked.argmax.results.json,stage4/results/torch-thesis-all-coverage/failure.csv,llm_unavailable
torch,torch.masked.argmax,stage4_runtime,candidate,differential_mismatch,c1b0ee3efb621274,,stage4/results/torch-thesis-all-coverage/bug_report.csv,llm_unavailable
