classification,api_full_name,stage3_status,smoke_classification,reason,init_json_path
environment_unsupported,torch.accelerator.get_device_capability,env_only,environment_unsupported,Backend doesn't support getting device capabilities.,json2init/results/torch/torch.accelerator.get_device_capability.init.json
environment_unsupported,torch.accelerator.get_memory_info,env_only,environment_unsupported,"device_allocator INTERNAL ASSERT FAILED at ""/Users/runner/work/pytorch/pytorch/pytorch/c10/core/CachingDeviceAllocator.h"":253, please report a bug to PyTorch. Allocator for mps is not a DeviceAllocator.",json2init/results/torch/torch.accelerator.get_memory_info.init.json
environment_unsupported,torch.accelerator.max_memory_allocated,env_only,environment_unsupported,"device_allocator INTERNAL ASSERT FAILED at ""/Users/runner/work/pytorch/pytorch/pytorch/c10/core/CachingDeviceAllocator.h"":253, please report a bug to PyTorch. Allocator for mps is not a DeviceAllocator.",json2init/results/torch/torch.accelerator.max_memory_allocated.init.json
environment_unsupported,torch.accelerator.max_memory_reserved,env_only,environment_unsupported,"device_allocator INTERNAL ASSERT FAILED at ""/Users/runner/work/pytorch/pytorch/pytorch/c10/core/CachingDeviceAllocator.h"":253, please report a bug to PyTorch. Allocator for mps is not a DeviceAllocator.",json2init/results/torch/torch.accelerator.max_memory_reserved.init.json
environment_unsupported,torch.accelerator.memory.get_memory_info,env_only,environment_unsupported,"device_allocator INTERNAL ASSERT FAILED at ""/Users/runner/work/pytorch/pytorch/pytorch/c10/core/CachingDeviceAllocator.h"":253, please report a bug to PyTorch. Allocator for mps is not a DeviceAllocator.",json2init/results/torch/torch.accelerator.memory.get_memory_info.init.json
environment_unsupported,torch.accelerator.memory.max_memory_allocated,env_only,environment_unsupported,"device_allocator INTERNAL ASSERT FAILED at ""/Users/runner/work/pytorch/pytorch/pytorch/c10/core/CachingDeviceAllocator.h"":253, please report a bug to PyTorch. Allocator for mps is not a DeviceAllocator.",json2init/results/torch/torch.accelerator.memory.max_memory_allocated.init.json
environment_unsupported,torch.accelerator.memory.max_memory_reserved,env_only,environment_unsupported,"device_allocator INTERNAL ASSERT FAILED at ""/Users/runner/work/pytorch/pytorch/pytorch/c10/core/CachingDeviceAllocator.h"":253, please report a bug to PyTorch. Allocator for mps is not a DeviceAllocator.",json2init/results/torch/torch.accelerator.memory.max_memory_reserved.init.json
environment_unsupported,torch.accelerator.memory.memory_allocated,env_only,environment_unsupported,"device_allocator INTERNAL ASSERT FAILED at ""/Users/runner/work/pytorch/pytorch/pytorch/c10/core/CachingDeviceAllocator.h"":253, please report a bug to PyTorch. Allocator for mps is not a DeviceAllocator.",json2init/results/torch/torch.accelerator.memory.memory_allocated.init.json
environment_unsupported,torch.accelerator.memory.memory_reserved,env_only,environment_unsupported,"device_allocator INTERNAL ASSERT FAILED at ""/Users/runner/work/pytorch/pytorch/pytorch/c10/core/CachingDeviceAllocator.h"":253, please report a bug to PyTorch. Allocator for mps is not a DeviceAllocator.",json2init/results/torch/torch.accelerator.memory.memory_reserved.init.json
environment_unsupported,torch.accelerator.memory.memory_stats,env_only,environment_unsupported,"device_allocator INTERNAL ASSERT FAILED at ""/Users/runner/work/pytorch/pytorch/pytorch/c10/core/CachingDeviceAllocator.h"":253, please report a bug to PyTorch. Allocator for mps is not a DeviceAllocator.",json2init/results/torch/torch.accelerator.memory.memory_stats.init.json
environment_unsupported,torch.accelerator.memory_allocated,env_only,environment_unsupported,"device_allocator INTERNAL ASSERT FAILED at ""/Users/runner/work/pytorch/pytorch/pytorch/c10/core/CachingDeviceAllocator.h"":253, please report a bug to PyTorch. Allocator for mps is not a DeviceAllocator.",json2init/results/torch/torch.accelerator.memory_allocated.init.json
environment_unsupported,torch.accelerator.memory_reserved,env_only,environment_unsupported,"device_allocator INTERNAL ASSERT FAILED at ""/Users/runner/work/pytorch/pytorch/pytorch/c10/core/CachingDeviceAllocator.h"":253, please report a bug to PyTorch. Allocator for mps is not a DeviceAllocator.",json2init/results/torch/torch.accelerator.memory_reserved.init.json
environment_unsupported,torch.accelerator.memory_stats,env_only,environment_unsupported,"device_allocator INTERNAL ASSERT FAILED at ""/Users/runner/work/pytorch/pytorch/pytorch/c10/core/CachingDeviceAllocator.h"":253, please report a bug to PyTorch. Allocator for mps is not a DeviceAllocator.",json2init/results/torch/torch.accelerator.memory_stats.init.json
environment_unsupported,torch.cuda.get_per_process_memory_fraction,env_only,environment_unsupported,Torch not compiled with CUDA enabled,json2init/results/torch/torch.cuda.get_per_process_memory_fraction.init.json
environment_unsupported,torch.cuda.get_rng_state,env_only,environment_unsupported,Torch not compiled with CUDA enabled,json2init/results/torch/torch.cuda.get_rng_state.init.json
environment_unsupported,torch.cuda.mem_get_info,env_only,environment_unsupported,Torch not compiled with CUDA enabled,json2init/results/torch/torch.cuda.mem_get_info.init.json
environment_unsupported,torch.cuda.memory.get_per_process_memory_fraction,env_only,environment_unsupported,Torch not compiled with CUDA enabled,json2init/results/torch/torch.cuda.memory.get_per_process_memory_fraction.init.json
environment_unsupported,torch.cuda.memory.mem_get_info,env_only,environment_unsupported,Torch not compiled with CUDA enabled,json2init/results/torch/torch.cuda.memory.mem_get_info.init.json
environment_unsupported,torch.cuda.random.get_rng_state,env_only,environment_unsupported,Torch not compiled with CUDA enabled,json2init/results/torch/torch.cuda.random.get_rng_state.init.json
