api_full_name,coverage_scope,python_statement_percent,python_branch_percent,python_covered_lines,python_coverable_lines,native_line_percent,native_covered_lines,native_coverable_lines,native_branch_percent,native_function_percent,python_json_path,native_json_path,python_export_error,native_export_error,worker_exit_code,worker_timeout,init_json_path,results_json_path
__CAMPAIGN__,campaign,0.012070653558831024,0.0118,14,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/campaign/python/coverage.json,,,,,,,
jax.block_until_ready,python,,,,,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.block_until_ready/coverage.json,,FileNotFoundError: [Errno 2] No such file or directory: 'stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.block_until_ready/coverage.json',,0,False,json2init/results/jax/jax.block_until_ready.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.block_until_ready.results.json
jax.copy_to_host_async,python,0.09254167728437118,0.1092,101,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.copy_to_host_async/coverage.json,,,,0,False,json2init/results/jax/jax.copy_to_host_async.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.copy_to_host_async.results.json
jax.dlpack.from_dlpack,python,0.24543662236289748,0.3159,259,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.dlpack.from_dlpack/coverage.json,,,,0,False,json2init/results/jax/jax.dlpack.from_dlpack.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.dlpack.from_dlpack.results.json
jax.dtypes.result_type,python,0.12070653558831024,0.1476,130,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.dtypes.result_type/coverage.json,,,,0,False,json2init/results/jax/jax.dtypes.result_type.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.dtypes.result_type.results.json
jax.interpreters.mlir.ir.np.all,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.all/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.all.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.all.results.json
jax.interpreters.mlir.ir.np.angle,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.angle/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.angle.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.angle.results.json
jax.interpreters.mlir.ir.np.any,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.any/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.any.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.any.results.json
jax.interpreters.mlir.ir.np.array,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.array/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.array.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.array.results.json
jax.interpreters.mlir.ir.np.array2string,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.array2string/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.array2string.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.array2string.results.json
jax.interpreters.mlir.ir.np.array_repr,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.array_repr/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.array_repr.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.array_repr.results.json
jax.interpreters.mlir.ir.np.asfortranarray,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.asfortranarray/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.asfortranarray.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.asfortranarray.results.json
jax.interpreters.mlir.ir.np.astype,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.astype/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.astype.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.astype.results.json
