api_full_name,reason,coverage_scope,python_statement_percent,python_branch_percent,python_covered_lines,python_coverable_lines,native_line_percent,native_covered_lines,native_coverable_lines,native_branch_percent,native_function_percent,python_json_path,native_json_path,python_export_error,native_export_error,worker_exit_code,worker_timeout,init_json_path,results_json_path
jax.dlpack.from_dlpack,selected_function_line_coverage_percent=54.0541 < 60,selected_function,,,20,37,,,,,,,,,,,,,
jax.lax.abs,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.acos,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.acosh,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.asin,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.asinh,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.atan,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.atanh,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.bitwise_not,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.cbrt,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.ceil,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.clz,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.conj,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.convert_element_type,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.lax.cos,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.cosh,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.exp,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.exp2,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.expm1,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.floor,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.integer_pow,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.is_finite,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.log,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.log1p,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.logistic,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.neg,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.population_count,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.pow,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.lax.reduce_max,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
jax.lax.reduce_min,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
jax.lax.reduce_prod,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
jax.lax.rsqrt,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.sign,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.sin,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.lax.sinh,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
