api_full_name,coverage_scope,python_statement_percent,python_branch_percent,python_covered_lines,python_coverable_lines,native_line_percent,native_covered_lines,native_coverable_lines,native_branch_percent,native_function_percent,python_json_path,native_json_path,python_export_error,native_export_error,worker_exit_code,worker_timeout,init_json_path,results_json_path
__CAMPAIGN__,campaign,0.17178086712817559,0.1898,479,287475,,,,,,stage4/results/tensorflow-thesis-all-coverage/coverage_reports/campaign/python/coverage.json,,,,,,,
tensorflow.acos,python,0.16177158825614016,0.1777,452,287475,,,,,,stage4/results/tensorflow-thesis-all-coverage/coverage_reports/per_api/python/tensorflow.acos/coverage.json,,,,0,False,json2init/results/tensorflow/tensorflow.acos.init.json,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.acos.results.json
tensorflow.acosh,python,0.1574432514466113,0.174,439,287475,,,,,,stage4/results/tensorflow-thesis-all-coverage/coverage_reports/per_api/python/tensorflow.acosh/coverage.json,,,,0,False,json2init/results/tensorflow/tensorflow.acosh.init.json,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.acosh.results.json
tensorflow.argmax,python,0.1531149146370825,0.1679,428,287475,,,,,,stage4/results/tensorflow-thesis-all-coverage/coverage_reports/per_api/python/tensorflow.argmax/coverage.json,,,,0,False,json2init/results/tensorflow/tensorflow.argmax.init.json,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.argmax.results.json
tensorflow.argmin,python,0.15203283043470028,0.1655,426,287475,,,,,,stage4/results/tensorflow-thesis-all-coverage/coverage_reports/per_api/python/tensorflow.argmin/coverage.json,,,,0,False,json2init/results/tensorflow/tensorflow.argmin.init.json,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.argmin.results.json
tensorflow.argsort,python,0.20965381421155288,0.2324,584,287475,,,,,,stage4/results/tensorflow-thesis-all-coverage/coverage_reports/per_api/python/tensorflow.argsort/coverage.json,,,,0,False,json2init/results/tensorflow/tensorflow.argsort.init.json,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.argsort.results.json
tensorflow.as_dtype,python,0.10929050444060305,0.1107,313,287475,,,,,,stage4/results/tensorflow-thesis-all-coverage/coverage_reports/per_api/python/tensorflow.as_dtype/coverage.json,,,,0,False,json2init/results/tensorflow/tensorflow.as_dtype.init.json,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.as_dtype.results.json
tensorflow.as_string,python,0.15095074623231808,0.1643,423,287475,,,,,,stage4/results/tensorflow-thesis-all-coverage/coverage_reports/per_api/python/tensorflow.as_string/coverage.json,,,,0,False,json2init/results/tensorflow/tensorflow.as_string.init.json,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.as_string.results.json
tensorflow.atan2,python,0.18584796175914428,0.2105,514,287475,,,,,,stage4/results/tensorflow-thesis-all-coverage/coverage_reports/per_api/python/tensorflow.atan2/coverage.json,,,,0,False,json2init/results/tensorflow/tensorflow.atan2.init.json,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.atan2.results.json
tensorflow.bitcast,python,0.1604189830031624,0.1764,448,287475,,,,,,stage4/results/tensorflow-thesis-all-coverage/coverage_reports/per_api/python/tensorflow.bitcast/coverage.json,,,,0,False,json2init/results/tensorflow/tensorflow.bitcast.init.json,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.bitcast.results.json
