api_full_name,stage,mutation_intent,param,rule,error_type,error,worker_exit_code,worker_timeout,results_json_path
tensorflow.as_dtype,mutation_generator,valid,type_value,value_large_magnitude,invalid_valid_mutation,Cannot convert the argument `type_value`: 1000000 to a TensorFlow DType.,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.as_dtype.results.json
tensorflow.broadcast_dynamic_shape,mutation_generator,valid,shape_x,value_large_magnitude,invalid_valid_mutation,"{{function_node __wrapped__BroadcastArgs_device_/job:localhost/replica:0/task:0/device:CPU:0}} Incompatible shapes: [1000000,1000000] vs. [2,2] [Op:BroadcastArgs] name: ",0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.broadcast_dynamic_shape.results.json
tensorflow.broadcast_dynamic_shape,mutation_generator,valid,shape_y,value_large_magnitude,invalid_valid_mutation,"{{function_node __wrapped__BroadcastArgs_device_/job:localhost/replica:0/task:0/device:CPU:0}} Incompatible shapes: [2,2] vs. [1000000,1000000] [Op:BroadcastArgs] name: ",0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.broadcast_dynamic_shape.results.json
tensorflow.dtypes.as_dtype,mutation_generator,valid,type_value,value_large_magnitude,invalid_valid_mutation,Cannot convert the argument `type_value`: 1000000 to a TensorFlow DType.,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.dtypes.as_dtype.results.json
tensorflow.gather,mutation_generator,valid,indices,value_large_magnitude,invalid_valid_mutation,"{{function_node __wrapped__GatherV2_device_/job:localhost/replica:0/task:0/device:CPU:0}} indices[0] = 1000000 is not in [0, 2) [Op:GatherV2] name: ",0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.gather.results.json
tensorflow.image.central_crop,mutation_generator,valid,central_fraction,value_large_magnitude,invalid_valid_mutation,"central_fraction must be within (0, 1]",0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.image.central_crop.results.json
tensorflow.image.central_crop,mutation_generator,valid,central_fraction,value_nan,invalid_valid_mutation,cannot convert float NaN to integer,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.image.central_crop.results.json
tensorflow.image.central_crop,mutation_generator,valid,central_fraction,value_neginf,invalid_valid_mutation,"central_fraction must be within (0, 1]",0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.image.central_crop.results.json
tensorflow.image.central_crop,mutation_generator,valid,central_fraction,value_negzero,invalid_valid_mutation,"central_fraction must be within (0, 1]",0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.image.central_crop.results.json
tensorflow.image.central_crop,mutation_generator,valid,central_fraction,value_posinf,invalid_valid_mutation,"central_fraction must be within (0, 1]",0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.image.central_crop.results.json
tensorflow.image.encode_jpeg,base_execution,,,,AttributeError,'bytes' object has no attribute 'dtype',0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.image.encode_jpeg.results.json
tensorflow.image.encode_png,base_execution,,,,AttributeError,'bytes' object has no attribute 'dtype',0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.image.encode_png.results.json
tensorflow.image.sample_distorted_bounding_box,mutation_generator,valid,bounding_boxes,value_large_magnitude,invalid_valid_mutation,"{{function_node __wrapped__SampleDistortedBoundingBoxV2_device_/job:localhost/replica:0/task:0/device:CPU:0}} All bounding box coordinates must be in [0.0, 1.0]: 10000 [Op:SampleDistortedBoundingBoxV2] name: ",0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.image.sample_distorted_bounding_box.results.json
tensorflow.image.sample_distorted_bounding_box,mutation_generator,valid,bounding_boxes,value_nan,invalid_valid_mutation,"{{function_node __wrapped__SampleDistortedBoundingBoxV2_device_/job:localhost/replica:0/task:0/device:CPU:0}} All bounding box coordinates must be in [0.0, 1.0]: nan [Op:SampleDistortedBoundingBoxV2] name: ",0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.image.sample_distorted_bounding_box.results.json
tensorflow.image.sample_distorted_bounding_box,mutation_generator,valid,bounding_boxes,value_neginf,invalid_valid_mutation,"{{function_node __wrapped__SampleDistortedBoundingBoxV2_device_/job:localhost/replica:0/task:0/device:CPU:0}} All bounding box coordinates must be in [0.0, 1.0]: -inf [Op:SampleDistortedBoundingBoxV2] name: ",0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.image.sample_distorted_bounding_box.results.json
tensorflow.image.sample_distorted_bounding_box,mutation_generator,valid,bounding_boxes,value_posinf,invalid_valid_mutation,"{{function_node __wrapped__SampleDistortedBoundingBoxV2_device_/job:localhost/replica:0/task:0/device:CPU:0}} All bounding box coordinates must be in [0.0, 1.0]: inf [Op:SampleDistortedBoundingBoxV2] name: ",0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.image.sample_distorted_bounding_box.results.json
tensorflow.io.decode_compressed,base_execution,,,,AttributeError,'bytes' object has no attribute 'dtype',0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.io.decode_compressed.results.json
tensorflow.io.encode_jpeg,base_execution,,,,AttributeError,'bytes' object has no attribute 'dtype',0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.io.encode_jpeg.results.json
tensorflow.io.encode_png,base_execution,,,,AttributeError,'bytes' object has no attribute 'dtype',0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.io.encode_png.results.json
tensorflow.io.parse_tensor,base_execution,,,,AttributeError,'bytes' object has no attribute 'dtype',0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.io.parse_tensor.results.json
tensorflow.keras.ops.adaptive_average_pool,mutation_generator,valid,output_size,structure_grow,invalid_valid_mutation,too many values to unpack (expected 2),0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.adaptive_average_pool.results.json
tensorflow.keras.ops.adaptive_max_pool,mutation_generator,valid,output_size,structure_grow,invalid_valid_mutation,too many values to unpack (expected 2),0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.adaptive_max_pool.results.json
tensorflow.keras.ops.bartlett,mutation_generator,valid,x,value_nan,invalid_valid_mutation,{{function_node __wrapped__Range_device_/job:localhost/replica:0/task:0/device:CPU:0}} Requires start <= limit when delta > 0: 0/nan [Op:Range] name: ,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.bartlett.results.json
tensorflow.keras.ops.bartlett,mutation_generator,valid,x,value_neginf,invalid_valid_mutation,{{function_node __wrapped__Range_device_/job:localhost/replica:0/task:0/device:CPU:0}} Requires start <= limit when delta > 0: 0/-inf [Op:Range] name: ,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.keras.ops.bartlett.results.json
