api_full_name,reason,coverage_scope,python_statement_percent,python_branch_percent,python_covered_lines,python_coverable_lines,native_line_percent,native_covered_lines,native_coverable_lines,native_branch_percent,native_function_percent,python_json_path,native_json_path,python_export_error,native_export_error,worker_exit_code,worker_timeout,init_json_path,results_json_path
tensorflow.acos,selected_function_line_coverage_percent=20 < 60,selected_function,,,1,5,,,,,,,,,,,,,
tensorflow.acosh,selected_function_line_coverage_percent=27.907 < 60,selected_function,,,12,43,,,,,,,,,,,,,
tensorflow.argmax,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,5,15,,,,,,,,,,,,,
tensorflow.argmin,selected_function_line_coverage_percent=50 < 60,selected_function,,,3,6,,,,,,,,,,,,,
tensorflow.argsort,selected_function_line_coverage_percent=50 < 60,selected_function,,,3,6,,,,,,,,,,,,,
tensorflow.as_dtype,selected_function_line_coverage_percent=39.1304 < 60,selected_function,,,9,23,,,,,,,,,,,,,
tensorflow.as_string,selected_function_line_coverage_percent=10.1695 < 60,selected_function,,,6,59,,,,,,,,,,,,,
tensorflow.atan2,selected_function_line_coverage_percent=13.9535 < 60,selected_function,,,6,43,,,,,,,,,,,,,
tensorflow.bitcast,selected_function_line_coverage_percent=27.2727 < 60,selected_function,,,12,44,,,,,,,,,,,,,
tensorflow.boolean_mask,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
tensorflow.broadcast_dynamic_shape,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
tensorflow.broadcast_to,selected_function_line_coverage_percent=32.5581 < 60,selected_function,,,14,43,,,,,,,,,,,,,
tensorflow.cast,selected_function_line_coverage_percent=45 < 60,selected_function,,,9,20,,,,,,,,,,,,,
tensorflow.constant,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
tensorflow.cos,selected_function_line_coverage_percent=27.907 < 60,selected_function,,,12,43,,,,,,,,,,,,,
tensorflow.cosh,selected_function_line_coverage_percent=27.907 < 60,selected_function,,,12,43,,,,,,,,,,,,,
tensorflow.divide,selected_function_line_coverage_percent=30 < 60,selected_function,,,3,10,,,,,,,,,,,,,
tensorflow.dtypes.as_dtype,selected_function_line_coverage_percent=39.1304 < 60,selected_function,,,9,23,,,,,,,,,,,,,
tensorflow.dtypes.cast,selected_function_line_coverage_percent=45 < 60,selected_function,,,9,20,,,,,,,,,,,,,
tensorflow.dtypes.saturate_cast,selected_function_line_coverage_percent=51.4286 < 60,selected_function,,,18,35,,,,,,,,,,,,,
tensorflow.ensure_shape,selected_function_line_coverage_percent=50 < 60,selected_function,,,3,6,,,,,,,,,,,,,
tensorflow.equal,selected_function_line_coverage_percent=20 < 60,selected_function,,,1,5,,,,,,,,,,,,,
tensorflow.exp,selected_function_line_coverage_percent=20 < 60,selected_function,,,1,5,,,,,,,,,,,,,
tensorflow.fill,selected_function_line_coverage_percent=50 < 60,selected_function,,,3,6,,,,,,,,,,,,,
tensorflow.fingerprint,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
tensorflow.floor,selected_function_line_coverage_percent=20 < 60,selected_function,,,1,5,,,,,,,,,,,,,
tensorflow.gather,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
