api_full_name,import_path,backend,library_version,init_json_path,seed,base_success,base_error,mutation_cases,mutation_success,mutation_fail,negative_expected_fail,expected_negative_rejection,negative_accepted_not_bug,invalid_valid_mutation,device_oracle_mismatch,valid_programs,nan_observed,worker_exit_code,worker_timeout,results_json_path
tensorflow.acos,tensorflow.acos,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.acos.init.json,1337,True,,7,7,0,0,0,1,0,0,7,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.acos.results.json
tensorflow.acosh,tensorflow.acosh,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.acosh.init.json,1338,True,,7,7,0,0,0,1,0,0,7,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.acosh.results.json
tensorflow.argmax,tensorflow.argmax,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.argmax.init.json,1339,True,,10,10,0,0,0,2,0,0,9,False,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.argmax.results.json
tensorflow.argmin,tensorflow.argmin,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.argmin.init.json,1340,True,,7,7,0,0,0,1,0,0,7,False,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.argmin.results.json
tensorflow.argsort,tensorflow.argsort,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.argsort.init.json,1341,True,,7,7,0,0,0,1,0,0,7,False,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.argsort.results.json
tensorflow.as_dtype,tensorflow.as_dtype,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.as_dtype.init.json,1342,True,,3,2,0,0,0,1,1,0,2,False,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.as_dtype.results.json
tensorflow.as_string,tensorflow.as_string,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.as_string.init.json,1343,True,,3,3,0,0,0,1,0,0,3,False,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.as_string.results.json
tensorflow.atan2,tensorflow.atan2,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.atan2.init.json,1344,True,,14,14,0,0,0,2,0,0,13,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.atan2.results.json
tensorflow.bitcast,tensorflow.bitcast,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.bitcast.init.json,1345,True,,17,17,0,0,0,3,0,0,15,False,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.bitcast.results.json
tensorflow.boolean_mask,tensorflow.boolean_mask,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.boolean_mask.init.json,1346,True,,13,12,0,1,1,2,0,0,11,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.boolean_mask.results.json
tensorflow.broadcast_dynamic_shape,tensorflow.broadcast_dynamic_shape,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.broadcast_dynamic_shape.init.json,1347,True,,6,4,0,0,0,2,2,0,3,False,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.broadcast_dynamic_shape.results.json
tensorflow.broadcast_to,tensorflow.broadcast_to,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.broadcast_to.init.json,1348,True,,12,11,0,1,1,2,0,0,10,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.broadcast_to.results.json
tensorflow.cast,tensorflow.cast,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.cast.init.json,1349,True,,9,9,0,0,0,2,0,0,8,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.cast.results.json
tensorflow.clip_by_global_norm,tensorflow.clip_by_global_norm,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.clip_by_global_norm.init.json,1350,True,,18,18,0,0,0,3,0,0,16,False,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.clip_by_global_norm.results.json
tensorflow.clip_by_norm,tensorflow.clip_by_norm,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.clip_by_norm.init.json,1351,True,,18,18,0,0,0,3,0,0,16,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.clip_by_norm.results.json
tensorflow.clip_by_value,tensorflow.clip_by_value,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.clip_by_value.init.json,1352,True,,27,27,0,0,0,4,0,0,24,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.clip_by_value.results.json
tensorflow.complex,tensorflow.complex,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.complex.init.json,1353,True,,16,14,0,2,2,0,0,0,15,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.complex.results.json
tensorflow.concat,tensorflow.concat,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.concat.init.json,1354,True,,15,14,0,1,1,2,0,0,13,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.concat.results.json
tensorflow.constant,tensorflow.constant,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.constant.init.json,1355,True,,3,3,0,0,0,1,0,0,3,False,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.constant.results.json
tensorflow.cos,tensorflow.cos,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.cos.init.json,1356,True,,7,7,0,0,0,1,0,0,7,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.cos.results.json
tensorflow.cosh,tensorflow.cosh,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.cosh.init.json,1357,True,,7,7,0,0,0,1,0,0,7,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.cosh.results.json
tensorflow.divide,tensorflow.divide,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.divide.init.json,1358,True,,20,19,0,1,1,3,0,0,17,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.divide.results.json
tensorflow.dtypes.as_dtype,tensorflow.dtypes.as_dtype,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.dtypes.as_dtype.init.json,1359,True,,3,2,0,0,0,1,1,0,2,False,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.dtypes.as_dtype.results.json
tensorflow.dtypes.cast,tensorflow.dtypes.cast,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.dtypes.cast.init.json,1360,True,,9,9,0,0,0,2,0,0,8,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.dtypes.cast.results.json
tensorflow.dtypes.complex,tensorflow.dtypes.complex,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.dtypes.complex.init.json,1361,True,,16,14,0,2,2,0,0,0,15,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.dtypes.complex.results.json
tensorflow.dtypes.saturate_cast,tensorflow.dtypes.saturate_cast,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.dtypes.saturate_cast.init.json,1362,True,,12,12,0,0,0,3,0,0,10,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.dtypes.saturate_cast.results.json
tensorflow.ensure_shape,tensorflow.ensure_shape,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.ensure_shape.init.json,1363,True,,12,11,0,1,1,2,0,0,10,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.ensure_shape.results.json
tensorflow.equal,tensorflow.equal,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.equal.init.json,1364,True,,20,20,0,0,0,4,0,0,17,False,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.equal.results.json
tensorflow.exp,tensorflow.exp,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.exp.init.json,1365,True,,7,7,0,0,0,1,0,0,7,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.exp.results.json
tensorflow.fill,tensorflow.fill,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.fill.init.json,1366,True,,12,12,0,0,0,3,0,0,10,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.fill.results.json
tensorflow.fingerprint,tensorflow.fingerprint,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.fingerprint.init.json,1367,True,,10,10,0,0,0,2,0,0,9,False,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.fingerprint.results.json
tensorflow.floor,tensorflow.floor,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.floor.init.json,1368,True,,7,7,0,0,0,1,0,0,7,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.floor.results.json
tensorflow.gather,tensorflow.gather,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.gather.init.json,1369,True,,13,12,0,0,0,3,1,0,10,True,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.gather.results.json
tensorflow.greater,tensorflow.greater,tensorflow,2.21.0,json2init/results/tensorflow/tensorflow.greater.init.json,1370,True,,14,14,0,0,0,2,0,0,13,False,0,False,stage4/results/tensorflow-thesis-all-coverage/execution_results/tensorflow.greater.results.json
