api_full_name,coverage_scope,python_statement_percent,python_branch_percent,python_covered_lines,python_coverable_lines,native_line_percent,native_covered_lines,native_coverable_lines,native_branch_percent,native_function_percent,python_json_path,native_json_path,python_export_error,native_export_error,worker_exit_code,worker_timeout,init_json_path,results_json_path
__CAMPAIGN__,campaign,0.00323211736008259,0.003,13,393669,,,,,,stage4/results/torch-thesis-all-coverage/coverage_reports/campaign/python/coverage.json,,,,,,,
torch.cuda.max_memory_allocated,python,0.005323487416606619,0.0045,22,393669,,,,,,stage4/results/torch-thesis-all-coverage/coverage_reports/per_api/python/torch.cuda.max_memory_allocated/coverage.json,,,,0,False,json2init/results/torch/torch.cuda.max_memory_allocated.init.json,stage4/results/torch-thesis-all-coverage/execution_results/torch.cuda.max_memory_allocated.results.json
torch.cuda.max_memory_reserved,python,0.005323487416606619,0.0045,22,393669,,,,,,stage4/results/torch-thesis-all-coverage/coverage_reports/per_api/python/torch.cuda.max_memory_reserved/coverage.json,,DataError: Couldn't use data file '/Users/aryansg/Desktop/DeepFuzz/stage4/results/torch-thesis-all-coverage/coverage_reports/per_api/python/torch.cuda.max_memory_reserved/.coverage.fc-b2-14-ac-50-40_walkup_net_uq_edu_au.pid23607.X5H83Scx.HNQIp837rWOh': no such table: arc,,0,False,json2init/results/torch/torch.cuda.max_memory_reserved.init.json,stage4/results/torch-thesis-all-coverage/execution_results/torch.cuda.max_memory_reserved.results.json
torch.cuda.memory.max_memory_allocated,python,0.005323487416606619,0.0045,22,393669,,,,,,stage4/results/torch-thesis-all-coverage/coverage_reports/per_api/python/torch.cuda.memory.max_memory_allocated/coverage.json,,,,0,False,json2init/results/torch/torch.cuda.memory.max_memory_allocated.init.json,stage4/results/torch-thesis-all-coverage/execution_results/torch.cuda.memory.max_memory_allocated.results.json
torch.cuda.memory.max_memory_reserved,python,0.005323487416606619,0.0045,22,393669,,,,,,stage4/results/torch-thesis-all-coverage/coverage_reports/per_api/python/torch.cuda.memory.max_memory_reserved/coverage.json,,DataError: Couldn't use data file '/Users/aryansg/Desktop/DeepFuzz/stage4/results/torch-thesis-all-coverage/coverage_reports/per_api/python/torch.cuda.memory.max_memory_reserved/.coverage.fc-b2-14-ac-50-40_walkup_net_uq_edu_au.pid34452.XfiFc9ux.HNQIp837rWOh': no such table: arc,,0,False,json2init/results/torch/torch.cuda.memory.max_memory_reserved.init.json,stage4/results/torch-thesis-all-coverage/execution_results/torch.cuda.memory.max_memory_reserved.results.json
torch.cuda.memory.memory_allocated,python,0.005323487416606619,0.0045,22,393669,,,,,,stage4/results/torch-thesis-all-coverage/coverage_reports/per_api/python/torch.cuda.memory.memory_allocated/coverage.json,,,,0,False,json2init/results/torch/torch.cuda.memory.memory_allocated.init.json,stage4/results/torch-thesis-all-coverage/execution_results/torch.cuda.memory.memory_allocated.results.json
torch.cuda.memory.memory_reserved,python,0.005323487416606619,0.0045,22,393669,,,,,,stage4/results/torch-thesis-all-coverage/coverage_reports/per_api/python/torch.cuda.memory.memory_reserved/coverage.json,,DataError: Couldn't use data file '/Users/aryansg/Desktop/DeepFuzz/stage4/results/torch-thesis-all-coverage/coverage_reports/per_api/python/torch.cuda.memory.memory_reserved/.coverage.fc-b2-14-ac-50-40_walkup_net_uq_edu_au.pid34770.XEUZ0kUx.HNQIp837rWOh': no such table: arc,,0,False,json2init/results/torch/torch.cuda.memory.memory_reserved.init.json,stage4/results/torch-thesis-all-coverage/execution_results/torch.cuda.memory.memory_reserved.results.json
torch.cuda.memory.memory_stats,python,0.0051333628660135255,0.0045,21,393669,,,,,,stage4/results/torch-thesis-all-coverage/coverage_reports/per_api/python/torch.cuda.memory.memory_stats/coverage.json,,,,0,False,json2init/results/torch/torch.cuda.memory.memory_stats.init.json,stage4/results/torch-thesis-all-coverage/execution_results/torch.cuda.memory.memory_stats.results.json
torch.cuda.memory_allocated,python,0.005323487416606619,0.0045,22,393669,,,,,,stage4/results/torch-thesis-all-coverage/coverage_reports/per_api/python/torch.cuda.memory_allocated/coverage.json,,,,0,False,json2init/results/torch/torch.cuda.memory_allocated.init.json,stage4/results/torch-thesis-all-coverage/execution_results/torch.cuda.memory_allocated.results.json
torch.cuda.memory_reserved,python,0.005323487416606619,0.0045,22,393669,,,,,,stage4/results/torch-thesis-all-coverage/coverage_reports/per_api/python/torch.cuda.memory_reserved/coverage.json,,,,0,False,json2init/results/torch/torch.cuda.memory_reserved.init.json,stage4/results/torch-thesis-all-coverage/execution_results/torch.cuda.memory_reserved.results.json
