api_full_name,stage,mutation_intent,param,rule,error_type,error,worker_exit_code,worker_timeout,results_json_path
torch.distributions.transforms.pad,mutation_generator,valid,pad,structure_grow,invalid_valid_mutation,Padding length must be divisible by 2,0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.distributions.transforms.pad.results.json
torch.storage.np.core.numeric.identity,mutation,valid,n,value_large_magnitude,valid_mutation_failure,"isolated execution subprocess exited abnormally (exitcode=-9, signal=SIGKILL)",0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.storage.np.core.numeric.identity.results.json
torch.storage.np.histogram_bin_edges,mutation_generator,valid,a,value_nan,invalid_valid_mutation,"autodetected range of [nan, nan] is not finite",0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.storage.np.histogram_bin_edges.results.json
torch.storage.np.histogram_bin_edges,mutation_generator,valid,a,value_neginf,invalid_valid_mutation,"autodetected range of [-inf, 1.0] is not finite",0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.storage.np.histogram_bin_edges.results.json
torch.storage.np.histogram_bin_edges,mutation_generator,valid,a,value_posinf,invalid_valid_mutation,"autodetected range of [1.0, inf] is not finite",0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.storage.np.histogram_bin_edges.results.json
torch.storage.np.histogramdd,mutation_generator,valid,sample,value_nan,invalid_valid_mutation,"autodetected range of [nan, nan] is not finite",0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.storage.np.histogramdd.results.json
torch.storage.np.histogramdd,mutation_generator,valid,sample,value_neginf,invalid_valid_mutation,"autodetected range of [-inf, 1.0] is not finite",0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.storage.np.histogramdd.results.json
torch.storage.np.histogramdd,mutation_generator,valid,sample,value_posinf,invalid_valid_mutation,"autodetected range of [1.0, inf] is not finite",0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.storage.np.histogramdd.results.json
torch.storage.np.linalg.eig,mutation,valid,a,value_nan,valid_mutation_failure,Array must not contain infs or NaNs,0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.storage.np.linalg.eig.results.json
torch.storage.np.linalg.eig,mutation,valid,a,value_neginf,valid_mutation_failure,Array must not contain infs or NaNs,0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.storage.np.linalg.eig.results.json
torch.storage.np.linalg.eig,mutation,valid,a,value_posinf,valid_mutation_failure,Array must not contain infs or NaNs,0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.storage.np.linalg.eig.results.json
torch.storage.np.ma.core.identity,mutation,valid,n,value_large_magnitude,valid_mutation_failure,"isolated execution subprocess exited abnormally (exitcode=-9, signal=SIGKILL)",0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.storage.np.ma.core.identity.results.json
torch.storage.np.ma.identity,mutation,valid,n,value_large_magnitude,valid_mutation_failure,"isolated execution subprocess exited abnormally (exitcode=-9, signal=SIGKILL)",0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.storage.np.ma.identity.results.json
torch.storage.np.polynomial.hermite.hermgauss,mutation,valid,deg,value_large_magnitude,valid_mutation_failure,isolated execution timed out after 45s,0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.storage.np.polynomial.hermite.hermgauss.results.json
torch.storage.np.polynomial.hermite_e.hermegauss,mutation,valid,deg,value_large_magnitude,valid_mutation_failure,isolated execution timed out after 45s,0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.storage.np.polynomial.hermite_e.hermegauss.results.json
torch.storage.np.polynomial.laguerre.laggauss,mutation,valid,deg,value_large_magnitude,valid_mutation_failure,isolated execution timed out after 45s,0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.storage.np.polynomial.laguerre.laggauss.results.json
torch.storage.np.polynomial.legendre.leggauss,mutation,valid,deg,value_large_magnitude,valid_mutation_failure,isolated execution timed out after 45s,0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.storage.np.polynomial.legendre.leggauss.results.json
torch.storage.np.roots,mutation,valid,p,value_nan,valid_mutation_failure,Array must not contain infs or NaNs,0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.storage.np.roots.results.json
torch.storage.np.tri,mutation,valid,N,value_large_magnitude,valid_mutation_failure,"isolated execution subprocess exited abnormally (exitcode=-9, signal=SIGKILL)",0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.storage.np.tri.results.json
torch.storage.np.tril_indices,mutation,valid,n,value_large_magnitude,valid_mutation_failure,"isolated execution subprocess exited abnormally (exitcode=-9, signal=SIGKILL)",0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.storage.np.tril_indices.results.json
torch.storage.np.triu_indices,mutation,valid,n,value_large_magnitude,valid_mutation_failure,"isolated execution subprocess exited abnormally (exitcode=-9, signal=SIGKILL)",0,False,stage4/results/torch-thesis-all-coverage/execution_results/torch.storage.np.triu_indices.results.json
