api_full_name,reason,coverage_scope,python_statement_percent,python_branch_percent,python_covered_lines,python_coverable_lines,native_line_percent,native_covered_lines,native_coverable_lines,native_branch_percent,native_function_percent,python_json_path,native_json_path,python_export_error,native_export_error,worker_exit_code,worker_timeout,init_json_path,results_json_path
torch.cuda.max_memory_allocated,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
torch.cuda.max_memory_reserved,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
torch.cuda.memory.max_memory_allocated,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
torch.cuda.memory.max_memory_reserved,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
torch.cuda.memory.memory_allocated,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
torch.cuda.memory.memory_reserved,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
torch.cuda.memory_allocated,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
torch.cuda.memory_reserved,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
torch.distributions.transforms.pad,selected_function_line_coverage_percent=50 < 60,selected_function,,,4,8,,,,,,,,,,,,,
torch.fx.experimental.symbolic_shapes.guard_scalar,selected_function_line_coverage_percent=37.5 < 60,selected_function,,,3,8,,,,,,,,,,,,,
torch.fx.experimental.symbolic_shapes.has_static_value,selected_function_line_coverage_percent=50 < 60,selected_function,,,4,8,,,,,,,,,,,,,
torch.masked.amax,selected_function_line_coverage_percent=35.2941 < 60,selected_function,,,6,17,,,,,,,,,,,,,
torch.masked.amin,selected_function_line_coverage_percent=35.2941 < 60,selected_function,,,6,17,,,,,,,,,,,,,
torch.masked.mean,selected_function_line_coverage_percent=43.4783 < 60,selected_function,,,10,23,,,,,,,,,,,,,
torch.masked.median,selected_function_line_coverage_percent=58.8235 < 60,selected_function,,,10,17,,,,,,,,,,,,,
torch.masked.prod,selected_function_line_coverage_percent=44.4444 < 60,selected_function,,,12,27,,,,,,,,,,,,,
torch.masked.std,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
torch.masked.sum,selected_function_line_coverage_percent=42.1053 < 60,selected_function,,,8,19,,,,,,,,,,,,,
torch.masked.var,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
torch.mtia.memory.memory_allocated,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
torch.mtia.memory_allocated,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
torch.windows.general_hamming,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
torch.windows.hamming,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
torch.windows.hann,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
torch.windows.nuttall,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
torch.windows.windows.general_hamming,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
torch.windows.windows.hamming,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
torch.windows.windows.hann,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
torch.windows.windows.nuttall,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
torch.xpu.max_memory_allocated,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
torch.xpu.max_memory_reserved,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
torch.xpu.memory.max_memory_allocated,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
torch.xpu.memory.max_memory_reserved,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
torch.xpu.memory.memory_allocated,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
torch.xpu.memory.memory_reserved,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
torch.xpu.memory.memory_snapshot,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
torch.xpu.memory_allocated,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
torch.xpu.memory_reserved,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
torch.xpu.memory_snapshot,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
